Country,Powerplant Name,Capacity (MW),Latitude,Longitude,Primary Fuel
Germany,HKW Fenne  GrubenNatural Gaskraftwerk,42,49.249,6.8792,Gas
Germany,HKW Freiberg,27,48.0056,7.8423,Gas
Germany,HKW GÃ¶ttingen,18.8,51.5534,9.9337,Gas
Germany,HKW Halle Trotha,254,51.481,11.9643,Gas
Germany,HKW Hiltrop,44,51.508,7.2503,Gas
Germany,HKW Humboldtstr.,31,54.3275,10.1267,Gas
Germany,HKW I,95,51.4293,6.752,Coal
Germany,HKW III/B,274,51.3907,6.7478,Gas
Germany,HKW Jena,182,50.8969,11.5857,Gas
Germany,HKW Karcherstr. (Coal),13.4,49.4346,7.7582,Coal
Germany,HKW Karcherstr. (Natural Gas),11.6,49.4347,7.7602,Gas
Germany,HKW Mannheim,44.7,49.5224,8.4529,Waste
Germany,HKW Merheim,15.8,50.9431,7.0852,Gas
Germany,HKW Merkenich,15.5,51.0179,6.964,Gas
Germany,HKW Merkenich (Natural Gas),108,51.0178,6.9643,Gas
Germany,HKW Niederrad,126,50.0856,8.6279,Gas
Germany,HKW Niehl 2,413,50.9749,6.988,Gas
Germany,HKW Nord,61.5,52.4328,10.7861,Coal
Germany,HKW Nord West,200,51.2529,9.438,Coal
Germany,HKW Pfaffenwald,36,48.7508,9.1103,Gas
Germany,HKW Potsdam-SÃ¼d,81.8,52.3661,13.1125,Gas
Germany,HKW Sachtleben,27.5,51.4409,6.7054,Coal
Germany,HKW Sandreuth,18,49.4386,11.0606,Waste
Germany,HKW Sandreuth,150,49.4386,11.0606,Gas
Germany,HKW Schwarza,26.5,50.6869,11.3293,Gas
Germany,HKW Schwerin Lankow,23,53.6539,11.373,Gas
Germany,HKW Schwerin SÃ¼d,44.9,53.5779,11.3965,Gas
Germany,HKW SÃ¼dstadt,35,50.917,6.9573,Gas
Germany,HKW West,138.5,52.4422,10.7645,Coal
Germany,HKW West,123,50.0984,8.6531,Coal
Germany,HKW West,99,50.0984,8.6531,Gas
Germany,HKW West ?,19.7,50.0985,8.653,Other
Germany,HKW Wiesengrund,22.1,50.9816,10.2906,Gas
Germany,HKW WÃ¶rth,59,49.07,8.307,Gas
Germany,HKW-Mitte,137.3,52.2786,10.5147,Gas
Germany,HKW-Nord,25,52.2786,10.5147,Gas
Germany,HKW-West,12.8,52.0262,8.8666,Gas
Germany,HKW3 UPM Schongau,65,48.1603,10.1144,Gas
Germany,Haag Solar Power Plant,5.5,49.6267,10.6237,Solar
Germany,Hafen power station,427,53.1249,8.7287,Coal
Germany,Haidenaab Solar Power Plant,3.2,49.8838,11.8316,Solar
Germany,Halberstadt Solar Power Plant,3.8,51.897,11.0914,Solar
Germany,Hamburg-Moorburg,1600,53.489,9.949,Coal
Germany,Hamburger Rieger,18.7,51.5201,14.3374,Waste
Germany,Harthausen Solar Power Plant,4.5,48.4406,10.3481,Solar
Germany,Hasselbach Solar Power Plant,1.9,50.0322,7.4374,Solar
Germany,Hastedt power station,119,53.0601,8.8733,Coal
Germany,Hattorf,52.3,50.8126,9.978,Gas
Germany,Haï¿½loch Solar Power Plant,3.3,49.3644,8.2341,Solar
Germany,Heckfeld Solar Power Plant,1.9,49.5608,9.6203,Solar
Germany,Heilbronn power station,778,49.1773,9.2063,Coal
Germany,Heimbach,16,50.6286,6.4518,Hydro
Germany,Heinersdorf Solar Power Plant,7.1,51.1292,12.6234,Solar
Germany,Heizkraftwerk 1,22.5,53.5177,9.9508,Gas
Germany,Heizkraftwerk 2,152,50.0918,8.5311,Gas
Germany,Heizkraftwerk 3,211,49.249,6.8792,Coal
Germany,Heizkraftwerk 4,18,48.3751,10.9028,Gas
Germany,Heizkraftwerk 5,10,49.8828,8.6287,Gas
Germany,Heizkraftwerk Altbach/Deizisau (Natural Gas),65,48.7176,9.3749,Gas
Germany,Heizkraftwerk Bomlitz,22.1,52.9,9.65,Gas
Germany,Heizkraftwerk Evonik Rheinfelden,16,47.5708,7.8072,Gas
Germany,Heizkraftwerk FFO,45,52.346,14.546,Coal
Germany,Heizkraftwerk Gera-Nord,148,50.9076,12.061,Gas
Germany,Heizkraftwerk Hafen,100.2,51.9501,7.6413,Gas
Germany,Heizkraftwerk Hagen-Kabel,230,51.411,7.4917,Gas
Germany,Heizkraftwerk KarlstraÃŸe 1,12,50.7338,7.0805,Waste
Germany,Heizkraftwerk KarlstraÃŸe 2,95,50.7338,7.0805,Gas
Germany,Heizkraftwerk Krefeld,12.6,51.3388,6.5853,Gas
Germany,Heizkraftwerk Leipzig-Nord,167,51.3512,12.3784,Gas
Germany,Heizkraftwerk MagirusstraÃŸe,20.7,48.397,9.9648,Coal
Germany,Heizkraftwerk Pforzheim GmbH,12.3,48.8971,8.725,Biomass
Germany,Heizkraftwerk Pforzheim GmbH,52.5,48.8832,8.6653,Gas
Germany,Heizkraftwerk Sindelfingen,95,48.6972,8.9992,Gas
